area,households,n_rent,n_sale,median_income,median_price,monthly_payment,own_income_needed,oai,oai_lo,oai_hi,agi_own,ri_own,ri_own_housing_induced,below_nonhousing_min,median_rent,rai,rai_lo,rai_hi,rent_income_needed,agi_rent,ri_rent,ri_rent_housing_induced,ri_rent_median_residual
Mpigi/Nkozi,12264.0,0,0,280982.9082,,,,,,,,,,,,,,,,,,,
Mukono/Mpunge,4711.0,0,0,209566.7583,,,,,,,,,,,,,,,,,,,
Mukono/Nama,29096.0,0,0,438249.1352,,,,,,,,,,,,,,,,,,,
Mukono/Ntenjeru,5776.0,0,0,231303.6156,,,,,,,,,,,,,,,,,,,
Mukono/Central Division,37850.0,17,132,619248.259,182500000.0,2000459.7932,5715599.4091,10.8344,9.8863,11.8046,0.9964,0.9392,0.8244,0.1148,,,,,,,,,
Mukono/Kasawo,9939.0,0,0,249401.5895,,,,,,,,,,,,,,,,,,,
Wakiso/Nansana Division,60232.0,5,57,620382.4551,100000000.0,1096142.3524,3131835.2926,19.8089,13.2059,24.7611,0.9718,0.8088,0.7115,0.0973,,,,,,,,,
Wakiso/Bunamwaya Division,23969.0,12,43,700991.393,1961000000.0,21495351.531,61415290.0887,1.1414,1.0999,1.5988,1.0,1.0,0.891,0.109,,,,,,,,,
Wakiso/Masajja Division,53343.0,7,32,647380.2861,360000000.0,3946112.4687,11274607.0535,5.7419,3.928,12.1594,0.9996,0.9865,0.8562,0.1302,,,,,,,,,
Wakiso/Bweyogerere Division,45496.0,34,35,688672.7761,220000000.0,2411513.1753,6890037.6438,9.9952,6.6635,12.2504,0.9968,0.9433,0.8591,0.0842,575000.0,35.9308,27.5469,59.0291,1916666.6667,0.887,0.5642,0.48,-100606.8329
Wakiso/Namugongo Division,59302.0,368,362,846428.2597,380000000.0,4165340.9392,11900974.112,7.1123,6.4349,7.7219,0.9987,0.9696,0.9215,0.0482,650000.0,39.0659,36.2755,42.3214,2166666.6667,0.8587,0.5045,0.4564,-6870.961
Mukono/Koome Island,7783.0,0,0,182804.3257,,,,,,,,,,,,,,,,,,,
Kampala/Kawempe Division,94222.0,171,124,848983.3906,490000000.0,5371097.5269,15345992.9339,5.5323,4.518,6.024,1.0,0.9978,0.9806,0.0173,1000000.0,25.4695,23.1541,31.8369,3333333.3333,0.9807,0.7082,0.6909,-365859.1187
Kampala/Nakawa Division,132418.0,465,485,987552.4487,1100000000.0,12057565.8767,34450188.219,2.8666,2.6277,3.2191,1.0,0.9999,0.989,0.0109,1300000.0,22.7897,22.7897,24.6888,4333333.3333,0.9857,0.7359,0.7251,-523204.9287
Kampala/Makindye Division,110313.0,273,256,842592.6488,1200000000.0,13153708.2291,37582023.5117,2.242,1.8178,2.6904,1.0,1.0,0.9837,0.0163,1050000.0,24.0741,21.0648,25.2778,3500000.0,0.9857,0.7338,0.7175,-419696.9008
Kampala/Rubaga Division,113516.0,50,62,813634.5938,625000000.0,6850889.7026,19573970.579,4.1567,3.7114,6.1128,1.0,0.9997,0.9831,0.0166,600000.0,40.6817,32.5454,61.0226,2000000.0,0.922,0.4984,0.4818,3757.0856
Kampala/Central Division,29046.0,174,167,786055.7218,1163650000.0,12755260.484,36443601.3828,2.1569,1.9307,2.8265,1.0,1.0,0.985,0.0149,1500000.0,15.7211,13.8665,19.6514,5000000.0,0.9949,0.8568,0.8418,-884488.6547
