m2_per_bedroom,n_houses,median_land_share,share_negative,n_units,spearman,median_ratio_implied_to_landonly
25,3882,0.6552323717948718,0.1143740340030912,25,0.7928447925081248,2.3856817703124027
32,3882,0.5623963656267104,0.16177228232869656,25,0.8051548523626904,1.9115846314468317
40,3882,0.456501052631579,0.22050489438433796,24,0.7692976915932807,1.8069584546861799
