series,base_period,base_value,target_month,target_value,uplift
headline,2019-09..2020-11 (UNHS fieldwork),109.98544937086942,2026-08,142.638458244298,1.2968848066740455
housing_water_energy,2019-09..2020-11 (UNHS fieldwork),112.24787334441707,2026-08,137.834836955507,1.2279505423909447
