district,county,subcounty,parish,household_pop,households,hh_size,n_radio,n_tv,n_computer,n_unimproved_water,n_improved_water,n_improved_sanitation,n_unimproved_sanitation,n_open_defecation,n_grid,n_solar,n_subsistence,n_pdm,sh_tv,sh_computer,sh_grid,sh_improved_water,sh_improved_sanitation,sh_subsistence,wealth_index
WAKISO,BUSIRO COUNTY,WAKISO,BUKASA,33350,8932,3.7337662337662336,3814,4842,704,1678,7254,7469,1424,39,6566,790,263,65,0.5420958351992835,0.07881773399014778,0.7351097178683386,0.8121361397223467,0.8362068965517241,0.029444693237796686,0.671081620904563
WAKISO,BUSIRO COUNTY,WAKISO,BULOBA,44753,12599,3.5521073101039766,6313,8262,1459,1450,11149,11031,1537,31,11005,398,265,65,0.6557663306611636,0.11580284149535677,0.8734820223827288,0.8849115009127708,0.8755456782284309,0.021033415350424637,1.1117301479667057
WAKISO,BUSIRO COUNTY,WAKISO,KYEBANDO,109853,32659,3.3636363636363638,14669,22248,2891,3742,28917,26573,5907,179,29312,687,376,149,0.6812211029119078,0.08852077528399523,0.8975167641385223,0.885422088857589,0.8136501423803546,0.011512906090204843,1.040890330752526
WAKISO,BUSIRO COUNTY,WAKISO,LUKWANGA,19324,5383,3.5898198030837825,2693,2575,362,1041,4342,4086,1186,111,2973,1075,381,81,0.4783577930522014,0.06724874605238715,0.5522942597064834,0.8066134125952071,0.759056288315066,0.07077837637005387,0.27714689009915655
WAKISO,BUSIRO COUNTY,WAKISO,NAKABUGO,67387,21200,3.178632075471698,9054,14487,2117,1748,19452,17665,3460,75,18509,652,284,101,0.6833490566037735,0.09985849056603774,0.873066037735849,0.9175471698113208,0.8332547169811321,0.01339622641509434,1.1017852175778333
WAKISO,BUSIRO COUNTY,WAKISO,NALUVULE,15854,4584,3.4585514834205933,2367,3293,842,448,4136,3742,832,10,4211,94,74,34,0.7183682373472949,0.18368237347294938,0.918630017452007,0.9022687609075044,0.8163176265270506,0.01614310645724258,1.3157707753820223
WAKISO,BUSIRO COUNTY,WAKISO,SUMBWE,55422,17731,3.1257120297783545,8661,12260,1717,1715,16016,14588,3118,25,15223,798,232,130,0.6914443629800914,0.09683604985618409,0.8585528170999943,0.9032767469403868,0.822739834188709,0.013084428402233377,1.070259561028516
WAKISO,BUSIRO COUNTY,WAKISO TOWN COUNCIL,GOMBE WARD,12830,3742,3.428647781934794,1600,2524,383,510,3232,3122,612,8,3360,134,67,58,0.6745056119722074,0.10235168359166222,0.8979155531801176,0.8637092463923036,0.8343132014965259,0.01790486370924639,1.057523790622802
WAKISO,BUSIRO COUNTY,WAKISO TOWN COUNCIL,KASENGEJJE WARD,13882,3597,3.859327217125382,1746,2279,356,436,3161,2843,747,7,2988,178,110,28,0.6335835418404225,0.09897136502641089,0.8306922435362802,0.8787878787878788,0.7903808729496803,0.03058103975535168,0.8935181344884716
WAKISO,BUSIRO COUNTY,WAKISO TOWN COUNCIL,KAVUMBA WARD,11602,3282,3.5350396099939063,1629,1995,537,669,2613,2750,526,6,2717,170,120,38,0.6078610603290676,0.1636197440585009,0.8278488726386349,0.7961608775137111,0.837903717245582,0.03656307129798903,0.9716430966636966
