term,coef,se,p,premium_pct,premium_lo,premium_hi
"C(tenure_class, Treatment(""mailo""))[T.freehold]",1.2658077311919969,0.6003139267894679,0.034981168561137095,254.59557587487592,9.331466104195885,1050.0625292100547
"C(tenure_class, Treatment(""mailo""))[T.kibanja]",-0.911039685824545,0.1373442176645344,3.283562316822492e-11,-59.789405721790544,-69.27917448792657,-47.368214712481475
"C(tenure_class, Treatment(""mailo""))[T.leasehold]",1.6278363767975188,0.4362336231612541,0.00019028998556670616,409.28437944580065,116.5896116749956,1097.5208651128373
"C(tenure_class, Treatment(""mailo""))[T.unknown]",-0.11335052954016872,0.06125893938909734,0.06426300049590439,-10.716236070944818,-20.817577067900384,0.6737380109603341
