area,households,n_rent,n_sale,median_income,median_price,monthly_payment,own_income_needed,oai,oai_lo,oai_hi,agi_own,ri_own,ri_own_housing_induced,below_nonhousing_min,median_rent,rai,rai_lo,rai_hi,rent_income_needed,agi_rent,ri_rent,ri_rent_housing_induced,ri_rent_median_residual
Wakiso/Gayaza,9193.0,40,121,646714.7159,240000000.0,2630741.6458,7516404.7023,8.604,7.1206,9.3862,0.9981,0.9605,0.8558,0.1047,450000.0,43.1143,32.3357,48.5036,1500000.0,0.8402,0.5194,0.4147,-27112.5384
Luwero/Wakanya,658.0,0,0,249854.9349,,,,,,,,,,,,,,,,,,,
Luwero/Migadde,3381.0,0,0,314011.5213,,,,,,,,,,,,,,,,,,,
Kampala/Upk,1263.0,0,0,520450.1647,,,,,,,,,,,,,,,,,,,
Mpigi/Nabiteete,888.0,0,0,232842.2415,,,,,,,,,,,,,,,,,,,
Luwero/Luwero Central Ward,673.0,0,0,523046.8415,,,,,,,,,,,,,,,,,,,
Mpigi/Bukunge,895.0,0,0,202498.1216,,,,,,,,,,,,,,,,,,,
Luwero/Kiyanda,658.0,0,0,281031.4476,,,,,,,,,,,,,,,,,,,
Wakiso/Sokolo,1571.0,0,0,288374.1425,,,,,,,,,,,,,,,,,,,
Wakiso/Ssentema,3037.0,0,0,382061.0508,,,,,,,,,,,,,,,,,,,
Kampala/Kawempe I,10733.0,0,0,788975.9329,,,,,,,,,,,,,,,,,,,
Kampala/Kyebando,11361.0,15,4,876769.5134,,,,,,,,,,,,,,,,,,,
Wakiso/Mutundwe,10437.0,0,0,621355.5644,,,,,,,,,,,,,,,,,,,
Luwero/Kamira,1173.0,0,3,391355.1891,,,,,,,,,,,,,,,,,,,
Wakiso/Masulita Ward,1588.0,0,0,323989.3424,,,,,,,,,,,,,,,,,,,
Luwero/Bajjo,2147.0,0,0,431640.1278,,,,,,,,,,,,,,,,,,,
Buikwe/Kawotto,740.0,0,0,386990.1819,,,,,,,,,,,,,,,,,,,
Kampala/Nakasero Iii,659.0,0,1,1240098.2838,,,,,,,,,,,,,,,,,,,
Kampala/Kamwokya Ii,5692.0,0,0,710835.0555,,,,,,,,,,,,,,,,,,,
Mukono/Kakukuulu,1492.0,0,0,215700.1727,,,,,,,,,,,,,,,,,,,
Kampala/Bugolobi,2641.0,13,20,1434305.0482,1285750000.0,14093650.2963,40267572.2751,3.5619,1.9698,4.9511,1.0,0.9999,0.9993,0.0006,,,,,,,,,
Luwero/Mazzi,1252.0,0,0,172233.61,,,,,,,,,,,,,,,,,,,
Buikwe/Namengo,3310.0,0,0,504871.1716,,,,,,,,,,,,,,,,,,,
Wakiso/Kiwenda,3986.0,0,0,444099.2145,,,,,,,,,,,,,,,,,,,
Luwero/Nakikoota,1089.0,0,0,217907.494,,,,,,,,,,,,,,,,,,,
Wakiso/Naluvule Ward,4584.0,0,0,762634.5234,,,,,,,,,,,,,,,,,,,
Mukono/Ntonto,2389.0,0,0,291105.9857,,,,,,,,,,,,,,,,,,,
