area,households,n_rent,n_sale,median_income,median_price,monthly_payment,own_income_needed,oai,oai_lo,oai_hi,agi_own,ri_own,ri_own_housing_induced,below_nonhousing_min,median_rent,rai,rai_lo,rai_hi,rent_income_needed,agi_rent,ri_rent,ri_rent_housing_induced,ri_rent_median_residual
Buikwe/Mulajje,937.0,0,0,269803.3881,,,,,,,,,,,,,,,,,,,
Wakiso/Seguku,5943.0,10,46,828437.8574,525000000.0,5754747.3502,16442135.2864,5.0385,3.8616,7.5578,0.9998,0.9904,0.9227,0.0677,,,,,,,,,
Mpigi/Musa,3182.0,0,0,195015.2711,,,,,,,,,,,,,,,,,,,
Luwero/Kasaala,1305.0,0,0,280355.1573,,,,,,,,,,,,,,,,,,,
Kampala/Nakasero Ii,771.0,83,50,1167225.3348,801450000.0,8785032.8835,25100093.9529,4.6503,3.4065,8.2835,1.0,0.9994,0.9985,0.0009,1200000.0,29.1806,23.3445,35.0168,4000000.0,0.9754,0.5989,0.598,-198207.0912
Kampala/Upper Estate,1342.0,0,0,1129873.7384,,,,,,,,,,,,,,,,,,,
Wakiso/Bunamwaya,13532.0,12,43,769319.4167,1961000000.0,21495351.531,61415290.0887,1.2527,1.2071,1.7546,1.0,1.0,0.9108,0.0891,,,,,,,,,
Buikwe/Kabizzi,2118.0,0,0,198413.7801,,,,,,,,,,,,,,,,,,,
Kampala/Salaama,11535.0,14,2,945305.2887,,,,,,,,,,,,,,,,,,,
Buikwe/Njeru East Ward,3862.0,0,0,523695.4389,,,,,,,,,,,,,,,,,,,
Luwero/Mpakawero,781.0,0,0,493138.0901,,,,,,,,,,,,,,,,,,,
Mpigi/Kasozi,869.0,0,0,208235.3047,,,,,,,,,,,,,,,,,,,
Wakiso/Busabala,23566.0,5,15,641930.4789,,,,,,,,,,,,,,,,,,,
Mpigi/Lwagwa-Kibanga,688.0,0,0,218509.2464,,,,,,,,,,,,,,,,,,,
Mpigi/Kantiini,907.0,0,0,161673.7221,,,,,,,,,,,,,,,,,,,
Luwero/Kyawangabi,1454.0,0,0,191852.3633,,,,,,,,,,,,,,,,,,,
Luwero/Gangama,663.0,0,2,433717.9472,,,,,,,,,,,,,,,,,,,
Luwero/Musaale,3620.0,0,0,360368.2409,,,,,,,,,,,,,,,,,,,
Luwero/Waluleeta,1316.0,0,0,292459.8577,,,,,,,,,,,,,,,,,,,
Wakiso/Bulumbu,1779.0,0,0,253558.2551,,,,,,,,,,,,,,,,,,,
Buikwe/Ndolwa,1378.0,0,0,259293.7654,,,,,,,,,,,,,,,,,,,
Wakiso/Migadde,1776.0,0,0,310754.3704,,,,,,,,,,,,,,,,,,,
Wakiso/Bulwanyi,1425.0,0,0,366259.9671,,,,,,,,,,,,,,,,,,,
Mpigi/Kololo,603.0,0,0,336916.2736,,,,,,,,,,,,,,,,,,,
Wakiso/Kigungu Ward,2694.0,0,0,377171.0502,,,,,,,,,,,,,,,,,,,
Wakiso/Namusera,2624.0,0,0,460036.2082,,,,,,,,,,,,,,,,,,,
Mukono/Kitovu,722.0,0,0,230832.825,,,,,,,,,,,,,,,,,,,
Luwero/Kalasa,1260.0,0,0,285564.5401,,,,,,,,,,,,,,,,,,,
Kampala/Kisugu,6174.0,5,0,797024.4071,,,,,,,,,,,,,,,,,,,
Wakiso/Kasengejje,3597.0,0,0,559476.0729,,,,,,,,,,,,,,,,,,,
Mukono/Mpunge,1291.0,0,0,214150.3553,,,,,,,,,,,,,,,,,,,
Mpigi/Lwanga,1496.0,0,9,333501.3913,,,,,,,,,,,,,,,,,,,
Mpigi/Bunjako,2591.0,0,0,182543.6254,,,,,,,,,,,,,,,,,,,
Mukono/Nakalanda,639.0,0,0,224582.5697,,,,,,,,,,,,,,,,,,,
Wakiso/Lugo,2726.0,0,0,304536.8321,,,,,,,,,,,,,,,,,,,
Kampala/Nsambya Estate,161.0,0,0,1746542.0292,,,,,,,,,,,,,,,,,,,
Mukono/Makukuba,2141.0,0,0,191122.5396,,,,,,,,,,,,,,,,,,,
Wakiso/Busujja Ward,1635.0,0,0,409926.3604,,,,,,,,,,,,,,,,,,,
Kampala/Nakasero I,604.0,0,1,910441.5896,,,,,,,,,,,,,,,,,,,
Mukono/Katete,484.0,0,0,163398.7658,,,,,,,,,,,,,,,,,,,
Mukono/Namataba,2873.0,0,0,513031.6482,,,,,,,,,,,,,,,,,,,
Luwero/Wabusana,1663.0,0,0,218881.3169,,,,,,,,,,,,,,,,,,,
Luwero/Ddegeya,1783.0,0,0,297969.2039,,,,,,,,,,,,,,,,,,,
Kampala/Busega,9346.0,0,0,790728.6567,,,,,,,,,,,,,,,,,,,
Mpigi/Mugge,1933.0,0,0,257284.8168,,,,,,,,,,,,,,,,,,,
Kampala/Makerere I,3010.0,0,2,918086.6347,,,,,,,,,,,,,,,,,,,
Wakiso/Nakabugo,21200.0,0,1,607547.7943,,,,,,,,,,,,,,,,,,,
Mukono/Kabanga,1209.0,0,0,262438.7323,,,,,,,,,,,,,,,,,,,
Wakiso/Nangabo,6449.0,3,24,649050.754,255000000.0,2795162.9987,7986179.9962,8.1272,5.9212,11.2023,0.9985,0.9662,0.8404,0.1257,,,,,,,,,
Kampala/Makerere Iii,3761.0,0,0,632389.8681,,,,,,,,,,,,,,,,,,,
Buikwe/Kiteza,3402.0,0,0,290301.7134,,,,,,,,,,,,,,,,,,,
Luwero/Ssambwe,249.0,0,0,212656.4742,,,,,,,,,,,,,,,,,,,
Wakiso/Ssumbwe,17731.0,0,1,599739.3086,,,,,,,,,,,,,,,,,,,
Luwero/Mawale,1811.0,0,0,299857.8108,,,,,,,,,,,,,,,,,,,
Wakiso/Zzinga,1062.0,0,0,198979.1597,,,,,,,,,,,,,,,,,,,
Buikwe/Buziika B,984.0,0,0,194533.8598,,,,,,,,,,,,,,,,,,,
