pt,n_listings,n_rent,n_sale,access_min,tt_cbd_min,tt_expressway_min,tt_bypass_min,tt_rail_min,acc_ntl_30,acc_jobs_30_bld,acc_jobs_30_ntl,acc_jobs_30_mix,acc_ntl_45,acc_jobs_45_bld,acc_jobs_45_ntl,acc_jobs_45_mix,acc_ntl_60,acc_jobs_60_bld,acc_jobs_60_ntl,acc_jobs_60_mix,lon,lat
POINT (447095.580914 19042.058459),1,1,0,1.639,40.824,16.832,24.385,42.082,5282.539,45707.299,74568.54,54288.338,21205.856,783026.664,828440.249,805272.795,33218.807,1113424.255,1124183.549,1122031.334,32.525,0.172
POINT (447478.678056 40344.850471),49,2,47,0.27,19.917,11.248,6.09,20.896,19839.84,901756.662,893619.341,902629.519,34878.21,1148348.342,1147794.984,1161153.411,41631.033,1223914.443,1239880.96,1242770.212,32.528,0.365
POINT (447700.462543 21001.42088),165,2,163,2.562,31.092,4.101,12.206,32.071,16279.936,548990.339,571141.422,555130.038,31020.904,1075759.066,1087260.024,1085443.26,38890.059,1184340.335,1206712.643,1201514.923,32.53,0.19
POINT (447801.676514 98308.609224),1,0,1,117.767,210.23,207.466,199.858,211.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.531,0.889
POINT (448004.335909 25989.215489),1,0,1,1.362,28.09,11.527,18.994,29.348,11256.967,363274.315,383740.45,373072.309,27432.512,1028713.601,1041527.493,1037574.65,36233.394,1154301.058,1173006.913,1167236.15,32.533,0.235
POINT (448259.203862 64109.574123),25,1,24,1.394,71.341,68.577,60.97,72.32,792.416,22716.243,23245.279,26278.202,1812.278,41166.104,36569.319,42287.666,4562.619,104957.051,82016.062,100350.879,32.535,0.58
POINT (448307.51436 36836.466251),4,0,4,2.69,18.036,6.93,4.765,19.309,21410.634,925355.347,922040.218,928480.203,35275.078,1148945.349,1157060.721,1163098.427,41474.779,1219655.057,1239110.197,1239819.538,32.535,0.333
POINT (448325.170915 33556.929485),4,0,4,0.067,14.979,6.896,6.491,16.252,21327.209,936081.849,936180.942,940818.864,33717.257,1128356.023,1141265.561,1141289.425,40422.416,1206988.851,1227124.17,1226054.376,32.536,0.304
POINT (448730.341487 56765.337168),1,0,1,5.214,67.4,64.635,57.028,68.379,664.939,8245.628,8403.978,8914.24,2293.85,39450.717,35382.326,41750.329,6438.427,150250.008,126792.037,146592.664,32.539,0.514
POINT (448889.489773 36795.541505),6,1,5,1.998,17.545,11.305,6.112,18.818,19717.599,911373.044,904380.578,912958.939,34384.101,1140247.051,1144086.809,1153501.319,41346.079,1218030.013,1236353.406,1238176.358,32.541,0.333
POINT (448902.610649 31412.55203),9,2,7,0.577,15.097,12.739,12.334,16.355,17881.803,847068.788,866205.961,855582.753,30383.66,1086658.028,1097967.523,1097112.481,39025.543,1188269.92,1208656.2,1206804.487,32.541,0.284
POINT (449125.440957 33533.130654),1,1,0,0.209,11.932,8.187,7.782,13.206,21608.862,954476.281,953892.438,958761.941,33753.91,1127221.917,1141667.297,1140676.168,40516.18,1207747.864,1227827.838,1227218.027,32.543,0.303
POINT (449254.375932 34535.112324),16,2,14,0.266,12.471,11.148,9.131,13.744,20819.528,946891.603,941631.845,949608.106,33274.04,1124208.157,1133947.602,1136596.028,40499.685,1207951.897,1226779.291,1227385.552,32.544,0.312
POINT (449273.421166 63946.951836),25,0,25,6.46,76.086,73.322,65.715,77.065,619.619,19458.619,20299.783,23152.999,1352.107,32956.396,30522.225,35010.245,3337.704,69698.715,57433.257,68282.141,32.544,0.579
POINT (449592.265585 23764.708798),34,0,34,0.459,27.579,4.048,11.515,28.838,18022.661,663771.919,708674.326,683107.102,31548.957,1086101.222,1098254.45,1095888.67,39179.132,1188434.572,1210463.63,1205755.187,32.547,0.215
POINT (449643.485609 24830.250541),10,4,6,0.254,23.114,5.358,12.825,24.372,18007.45,728435.453,751369.704,740735.389,31248.462,1093742.422,1103661.388,1101652.911,38754.886,1182713.88,1205148.749,1199423.466,32.547,0.225
POINT (449651.829501 38805.006302),24,5,19,2.475,17.39,14.609,7.012,18.369,19090.38,911725.188,897718.18,910659.261,34403.553,1140028.525,1143511.419,1154160.649,41619.818,1220689.234,1238956.104,1241447.425,32.548,0.351
POINT (449925.0503 35001.081639),1,1,0,0.241,10.4,10.156,7.991,11.673,21974.837,973249.724,967675.614,976668.413,34115.913,1134678.475,1143558.061,1147334.673,41039.72,1213980.347,1233000.444,1233925.965,32.55,0.317
POINT (449925.876408 14369.352412),52,2,50,1.474,50.295,17.934,33.625,51.554,3232.518,28192.202,39137.485,31702.703,11233.663,171328.684,210202.559,180875.057,27065.877,992909.182,1011556.647,1001381.955,32.55,0.13
POINT (449925.918834 16580.022108),67,2,65,2.371,43.214,17.644,26.776,44.472,5001.804,41268.114,64894.907,49308.456,19248.483,657854.73,700268.201,672631.929,31805.937,1086421.034,1100123.295,1095691.93,32.55,0.15
