market,radial,coef_radial,p_radial,coef_expressway,p_expressway,n
rent,entebbe_road,-0.2389,0.1207,-0.0401,0.8399,3199
rent,jinja_road,-0.1091,0.423,-0.3883,0.0233,3199
rent,bombo_road,-0.2496,0.1109,-0.2336,0.0395,3199
rent,gayaza_road,-0.1012,0.258,-0.2942,0.0124,3199
rent,hoima_road,-0.1039,0.6068,-0.2371,0.0505,3199
rent,masaka_road,0.0166,0.9314,-0.2812,0.0246,3199
rent,fortportal_road,-0.0444,0.8564,-0.253,0.0696,3199
sale,entebbe_road,-0.247,0.0232,-0.0525,0.5048,2544
sale,jinja_road,-0.0538,0.3262,-0.2684,0.0,2544
sale,bombo_road,0.1659,0.0468,-0.2149,0.0,2544
sale,gayaza_road,0.0713,0.1158,-0.2177,0.0,2544
sale,hoima_road,0.1605,0.3082,-0.2424,0.0,2544
sale,masaka_road,-0.1027,0.392,-0.2255,0.0,2544
sale,fortportal_road,0.1602,0.0837,-0.2637,0.0,2544
