pt,n_listings,n_rent,n_sale,access_min,tt_cbd_min,tt_expressway_min,tt_bypass_min,tt_rail_min,acc_ntl_30,acc_jobs_30_bld,acc_jobs_30_ntl,acc_jobs_30_mix,acc_ntl_45,acc_jobs_45_bld,acc_jobs_45_ntl,acc_jobs_45_mix,acc_ntl_60,acc_jobs_60_bld,acc_jobs_60_ntl,acc_jobs_60_mix,lon,lat
POINT (445581.471328 8120.940339),93,3,90,0.174,59.838,14.261,35.386,61.21,2454.316,21958.102,29715.456,24635.475,7132.659,71138.007,106278.886,79448.135,18972.485,645551.31,690987.104,660879.405,32.511,0.073
POINT (445956.984863 36521.767507),2,0,2,0.952,28.68,9.029,7.875,30.052,12348.794,606024.499,631848.175,617742.314,25858.29,997279.855,990025.148,1001563.425,36142.671,1157639.933,1169511.175,1172987.905,32.514,0.33
POINT (446649.154217 50349.326633),423,2,421,2.479,56.928,53.434,43.544,58.3,1727.756,27366.81,20918.69,26112.167,5099.068,110259.358,83935.357,103376.79,15318.759,685157.931,695978.356,699461.406,32.521,0.456
POINT (446824.732749 22043.779855),692,12,680,0.835,46.747,15.657,25.476,48.481,4117.291,30639.63,56003.456,39169.783,13831.787,355528.741,362911.502,354180.277,27364.045,1004266.36,1020493.29,1012657.132,32.522,0.199
POINT (446835.205866 34376.050944),2,0,2,0.318,25.368,5.748,5.212,27.122,13178.847,608453.698,644541.867,624132.728,26305.188,1006610.566,1006587.882,1014226.13,35935.823,1154567.782,1168576.048,1169000.943,32.522,0.311
POINT (447084.97953 46372.460556),2,0,2,0.991,43.222,39.727,29.838,44.594,3026.404,77064.979,52753.543,69994.975,11923.265,568725.182,594211.15,586462.061,23808.243,986226.968,958545.138,983535.018,32.524,0.42
POINT (447095.580914 19042.058459),2,2,0,1.639,52.48,21.39,31.209,54.214,2738.532,21007.599,33156.582,25017.47,9199.506,143833.797,176770.737,152885.077,23529.536,886460.399,918779.895,902902.739,32.525,0.172
POINT (447478.678056 40344.850471),201,27,174,0.27,25.712,14.541,7.836,27.084,12321.887,691979.266,712916.805,702862.029,26011.448,1010399.926,998300.141,1013341.281,36312.817,1161935.841,1168740.343,1176556.367,32.528,0.365
POINT (447700.462543 21001.42088),578,18,560,2.562,39.552,4.563,15.099,40.924,8363.537,132511.537,167695.93,142449.848,23241.652,868510.624,908619.4,888230.077,32638.526,1099940.064,1112834.29,1110033.231,32.53,0.19
POINT (447801.676514 98308.609224),6,0,6,117.767,237.869,234.375,224.486,239.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.531,0.889
POINT (448004.335909 25989.215489),2,0,2,1.362,36.009,14.576,24.284,37.744,5489.26,76210.229,98573.99,84354.274,17519.121,709395.242,733897.678,722108.779,28850.804,1052742.738,1066643.931,1061298.554,32.533,0.235
POINT (448259.203862 64109.574123),62,2,60,1.394,92.226,88.732,78.842,93.598,581.096,18911.974,19960.165,22659.089,1062.213,28209.919,26961.328,30763.661,2038.556,45094.918,39488.205,45684.144,32.535,0.58
POINT (448307.51436 36836.466251),12,2,10,2.69,22.541,8.202,5.387,24.295,14237.787,751651.379,770281.741,762204.362,27481.95,1034423.324,1028567.638,1040920.517,36875.433,1164147.645,1179744.045,1180539.345,32.535,0.333
POINT (448325.170915 33556.929485),12,0,12,0.067,19.353,8.945,8.418,21.107,13498.758,697802.726,718698.269,707040.049,26065.991,1028858.067,1030429.237,1036619.533,34936.642,1140814.466,1157464.811,1154791.262,32.536,0.304
POINT (448492.921186 71331.51667),2,0,2,2.31,113.544,110.05,100.161,114.916,200.206,11193.376,9584.106,11978.0,480.618,20037.713,19322.924,21901.806,883.318,26654.243,25585.299,28567.142,32.537,0.645
POINT (448730.341487 56765.337168),2,0,2,5.214,85.956,82.462,72.573,87.328,427.593,4735.796,5177.053,5242.936,1188.079,18155.443,17024.297,19318.144,2770.519,48259.559,43991.659,51370.664,32.539,0.514
POINT (448889.489773 36795.541505),13,2,11,1.998,22.11,14.097,7.346,23.864,12672.991,735135.442,751756.211,744282.685,26196.89,1020172.249,1011669.452,1025112.395,36117.842,1156507.654,1167690.879,1172188.889,32.541,0.333
POINT (448902.610649 31412.55203),36,4,32,0.577,19.354,16.387,15.861,21.089,11250.042,643555.536,668857.701,656214.466,23211.844,983976.547,989628.726,990240.898,32003.104,1103670.353,1119090.059,1115704.001,32.541,0.284
POINT (449125.440957 33533.130654),2,2,0,0.209,15.35,10.58,10.054,17.104,14175.796,765934.845,775800.796,769033.279,26238.279,1037344.429,1040211.667,1044872.987,34985.113,1140450.275,1157569.837,1154760.065,32.543,0.303
POINT (449254.375932 34535.112324),32,4,28,0.266,16.034,14.412,11.79,17.788,13342.283,764621.915,768369.188,764606.359,25834.31,1035358.513,1033597.183,1041986.13,34719.89,1139272.713,1153026.887,1152969.325,32.544,0.312
POINT (449273.421166 63946.951836),50,0,50,6.46,96.874,93.38,83.491,98.247,453.451,15772.189,17021.014,19385.268,904.359,24690.006,24926.536,28156.76,1627.869,38450.438,34218.635,39581.049,32.544,0.579
POINT (449592.265585 23764.708798),167,8,159,0.459,35.616,5.124,14.832,37.351,9398.899,167225.001,200574.9,177059.154,24173.628,919657.219,948993.258,936353.752,32900.188,1104693.812,1119244.384,1115297.348,32.547,0.215
POINT (449643.485609 24830.250541),35,8,27,0.254,29.872,6.889,16.597,31.607,9732.77,258698.539,270023.782,260144.203,24044.278,950339.102,964887.264,958788.552,32428.208,1107698.354,1120764.81,1117145.272,32.547,0.225
POINT (449651.829501 38805.006302),49,10,39,2.475,21.765,18.249,8.373,23.137,12656.883,733654.884,751581.617,744426.997,26052.07,1028018.578,1012075.44,1030054.954,35986.027,1155855.712,1164873.298,1171763.103,32.548,0.351
POINT (449925.0503 35001.081639),2,2,0,0.241,13.349,13.131,10.316,15.103,14802.912,826732.263,820554.106,824699.496,26960.111,1049339.267,1051591.558,1057296.131,35534.634,1147832.253,1161909.28,1162292.463,32.55,0.317
POINT (449925.876408 14369.352412),235,16,219,1.474,64.843,22.872,43.27,66.577,1903.177,20011.055,23042.581,21576.351,5124.858,42338.31,63655.851,49683.168,13183.034,234476.726,269484.806,242615.455,32.55,0.13
POINT (449925.918834 16580.022108),156,4,152,2.371,55.368,22.226,34.097,57.103,2988.101,24650.509,36178.23,28456.182,8255.21,98395.07,132743.363,107257.285,21557.311,766408.5,817699.592,788177.769,32.55,0.15
POINT (450016.566133 33199.834839),200,90,110,1.28,16.237,15.042,14.516,17.991,12797.531,740870.678,752024.345,743985.147,25021.81,1020065.181,1024597.914,1027276.241,33833.91,1126876.76,1141704.853,1140090.769,32.551,0.3
