market,spec,term,coef,se,p,n,points,r2_adj
rent,S1 base,ln_tt_expressway_min,-0.2632,0.1243,0.0341,3199,118,0.6539
rent,S1 base,ln_tt_bypass_min,0.1247,0.0717,0.0821,3199,118,0.6539
rent,S1 base,ln_tt_cbd_min,-0.3619,0.1222,0.003,3199,118,0.6539
rent,S2 + old Entebbe Road,ln_tt_expressway_min,0.0836,0.2354,0.7225,3199,118,0.6559
rent,S2 + old Entebbe Road,ln_tt_bypass_min,0.0149,0.1033,0.8853,3199,118,0.6559
rent,S2 + old Entebbe Road,ln_tt_cbd_min,-0.172,0.1522,0.2585,3199,118,0.6559
rent,S2 + old Entebbe Road,ln_dist_entebbe_road,-0.3025,0.1712,0.0772,3199,118,0.6559
rent,S3 + sector FE,ln_tt_expressway_min,-1.0372,0.3539,0.0034,3199,118,0.6783
rent,S3 + sector FE,ln_tt_bypass_min,0.4243,0.1333,0.0015,3199,118,0.6783
rent,S3 + sector FE,ln_tt_cbd_min,-0.3251,0.1195,0.0065,3199,118,0.6783
rent,S4 + sector FE + CBD-time bands,ln_tt_expressway_min,-0.61,0.2487,0.0142,3199,118,0.7023
rent,S4 + sector FE + CBD-time bands,ln_tt_bypass_min,0.3409,0.1224,0.0053,3199,118,0.7023
rent,S4 + sector FE + CBD-time bands,ln_tt_cbd_min,0.1652,0.1396,0.2365,3199,118,0.7023
sale,S1 base,ln_tt_expressway_min,-0.3345,0.043,0.0,2544,110,0.5934
sale,S1 base,ln_tt_bypass_min,0.0721,0.0828,0.3839,2544,110,0.5934
sale,S1 base,ln_tt_cbd_min,-0.2056,0.1348,0.1272,2544,110,0.5934
sale,S2 + old Entebbe Road,ln_tt_expressway_min,-0.005,0.13,0.9695,2544,110,0.6003
sale,S2 + old Entebbe Road,ln_tt_bypass_min,-0.0747,0.0861,0.386,2544,110,0.6003
sale,S2 + old Entebbe Road,ln_tt_cbd_min,-0.0013,0.149,0.9932,2544,110,0.6003
sale,S2 + old Entebbe Road,ln_dist_entebbe_road,-0.2987,0.1147,0.0092,2544,110,0.6003
sale,S3 + sector FE,ln_tt_expressway_min,-0.2034,0.0855,0.0173,2544,110,0.6151
sale,S3 + sector FE,ln_tt_bypass_min,-0.0888,0.079,0.2608,2544,110,0.6151
sale,S3 + sector FE,ln_tt_cbd_min,-0.1857,0.1435,0.1958,2544,110,0.6151
sale,S4 + sector FE + CBD-time bands,ln_tt_expressway_min,-0.2575,0.1188,0.0301,2544,110,0.6269
sale,S4 + sector FE + CBD-time bands,ln_tt_bypass_min,-0.0033,0.117,0.9774,2544,110,0.6269
sale,S4 + sector FE + CBD-time bands,ln_tt_cbd_min,0.239,0.1838,0.1936,2544,110,0.6269
