pt,n_listings,n_rent,n_sale,access_min,tt_cbd_min,tt_expressway_min,tt_bypass_min,tt_rail_min,acc_ntl_30,acc_jobs_30_bld,acc_jobs_30_ntl,acc_jobs_30_mix,acc_ntl_45,acc_jobs_45_bld,acc_jobs_45_ntl,acc_jobs_45_mix,acc_ntl_60,acc_jobs_60_bld,acc_jobs_60_ntl,acc_jobs_60_mix,lon,lat
POINT (448259.203862 64109.574123),25,1,24,1.394,131.012,126.162,112.035,133.114,425.174,15034.637,16495.071,18694.773,685.98,20779.565,21779.992,24540.378,986.195,26664.106,26046.285,29473.02,32.535,0.58
POINT (448307.51436 36836.466251),4,0,4,2.69,30.907,10.564,6.543,33.554,6645.619,363729.428,340108.951,349943.486,16618.704,809742.878,824660.724,820557.736,26293.427,1013192.941,1006958.529,1018578.342,32.535,0.333
POINT (448325.170915 33556.929485),4,0,4,0.067,27.477,12.749,11.998,30.124,6066.389,376839.105,343686.211,363075.944,15408.611,763091.552,778907.842,770424.947,24370.084,996207.101,999116.528,1003976.207,32.536,0.304
POINT (448730.341487 56765.337168),1,0,1,5.214,120.418,115.568,101.441,122.52,228.544,2892.784,2767.079,3003.626,617.1,6879.574,7545.636,7640.041,1166.511,17661.499,16709.495,18843.87,32.539,0.514
POINT (448889.489773 36795.541505),6,1,5,1.998,30.588,19.282,9.639,33.235,5634.83,349955.681,343227.206,344527.083,14621.569,791192.736,799653.957,798674.521,24680.694,995649.976,986685.857,999471.294,32.541,0.333
POINT (448902.610649 31412.55203),9,2,7,0.577,27.26,23.163,22.411,29.879,4981.975,333915.686,296317.115,320698.691,12799.652,700931.674,717296.813,706101.274,21408.911,938213.113,951501.546,946529.773,32.541,0.284
POINT (449125.440957 33533.130654),1,1,0,0.209,21.698,15.025,14.274,24.345,7327.213,484114.752,502307.52,495209.898,15819.774,805901.335,814752.236,809071.712,24734.538,1013603.3,1014552.735,1019870.534,32.543,0.303
POINT (449254.375932 34535.112324),16,2,14,0.266,22.65,20.475,16.729,25.297,6822.529,484484.382,522018.299,500752.881,15142.351,815289.744,812242.146,814320.703,24212.018,1008342.939,1005080.464,1013539.708,32.544,0.312
POINT (449273.421166 63946.951836),25,0,25,6.46,135.482,130.632,116.504,137.584,332.56,12490.053,13685.99,15624.807,568.806,18471.277,19694.949,22191.666,915.41,25032.911,25060.338,28323.599,32.544,0.579
POINT (449592.265585 23764.708798),34,0,34,0.459,50.543,7.124,20.992,53.162,4106.316,27563.12,58773.96,37168.53,11191.451,228881.357,255611.231,235871.871,22398.111,847698.952,877997.722,861859.406,32.547,0.215
POINT (449643.485609 24830.250541),10,4,6,0.254,42.424,9.732,23.6,45.044,4259.284,39380.842,65924.33,48678.372,11455.339,347282.22,360780.936,351354.257,22064.905,888212.711,906025.504,895663.77,32.547,0.225
POINT (449651.829501 38805.006302),24,5,19,2.475,29.89,25.009,10.901,31.992,6270.015,390164.991,424397.966,404240.776,14874.328,814340.515,810284.842,814257.269,24601.371,1004030.718,989578.389,1005917.795,32.548,0.351
POINT (449925.0503 35001.081639),1,1,0,0.241,18.825,18.655,14.634,21.473,7891.295,567440.056,598224.751,577124.173,16595.221,873303.227,863248.359,871395.246,25487.997,1030864.125,1030413.987,1037913.154,32.55,0.317
POINT (449925.876408 14369.352412),52,2,50,1.474,91.859,32.042,61.183,94.479,772.716,10895.873,9355.604,10310.375,2309.923,22609.479,27967.238,24647.555,4590.881,37275.842,55583.779,43223.684,32.55,0.13
POINT (449925.918834 16580.022108),67,2,65,2.371,77.94,30.735,47.694,80.559,1231.4,13343.902,14909.089,14155.517,3755.448,30220.597,45468.822,35237.692,7236.756,71321.604,106306.185,80886.225,32.55,0.15
POINT (450016.566133 33199.834839),76,37,39,1.28,22.505,20.941,20.189,25.153,6691.687,478109.675,485514.221,486691.633,14764.563,794372.639,801811.187,797879.668,23733.705,1001250.812,1003985.663,1007226.686,32.551,0.3
POINT (450116.903057 37498.47802),4,1,3,1.54,24.705,24.395,14.479,27.353,6641.616,476936.494,511088.753,491365.904,15126.881,845009.347,832153.793,841499.366,24657.651,1011981.993,1002759.378,1016222.091,32.552,0.339
POINT (450237.784205 27212.228187),88,30,58,0.018,38.464,21.25,35.119,41.084,2927.355,48027.276,54558.722,51269.886,9242.222,400428.22,417887.131,413196.592,17839.497,785238.875,821829.563,799909.667,32.553,0.246
POINT (450260.479279 38134.038843),4,4,0,0.119,25.853,24.598,10.489,28.501,7387.297,506054.207,538067.596,520472.153,15901.555,855471.435,843236.817,852622.75,25411.832,1019804.455,1009200.62,1024231.01,32.553,0.345
POINT (450336.177319 30400.307891),1,0,1,0.381,25.705,31.362,30.61,28.324,4930.281,327043.656,309847.319,326751.967,12342.775,691896.027,717011.369,701279.76,20510.372,907629.437,935945.438,920001.505,32.554,0.275
POINT (450411.721384 36077.004242),2,2,0,1.368,20.032,21.147,13.0,22.68,7477.428,549960.34,575854.033,557945.647,15878.793,863170.75,849890.049,859887.994,25252.731,1026599.783,1021831.892,1032191.071,32.554,0.326
POINT (450508.847429 759.364449),56,19,37,23.707,135.297,71.366,100.506,137.399,10.11,161.446,122.407,94.693,62.521,629.06,756.964,473.306,207.665,2591.255,2514.291,2305.768,32.555,0.007
POINT (450579.189391 36754.257242),1,0,1,0.052,18.998,18.263,8.619,21.646,9243.553,635233.741,658126.959,644565.596,18054.776,906045.438,893412.871,905149.547,27542.799,1057555.017,1051335.604,1063945.294,32.556,0.333
POINT (450652.993644 31269.895544),2,0,2,0.158,23.84,28.981,28.229,26.46,5355.409,387445.115,368189.998,386596.875,12740.616,717728.181,743084.864,727781.656,21186.397,938687.21,956142.165,946728.054,32.557,0.283
POINT (450691.748777 25762.014909),96,16,80,2.181,39.204,16.806,30.674,41.824,3360.869,38909.273,53619.648,44847.758,10084.102,391479.848,414854.17,404997.75,19385.536,823890.34,848843.209,834610.871,32.557,0.233
POINT (450767.899327 41126.928198),1,1,0,0.094,30.163,25.313,11.185,32.265,6372.485,376191.324,410806.918,390150.863,15446.379,820107.017,813540.768,819321.113,25099.906,1009960.678,993965.79,1011965.013,32.558,0.372
POINT (450816.478263 28738.674855),7,2,5,0.454,31.62,28.073,39.767,34.239,3240.558,125504.17,113545.606,122475.529,10393.982,577801.184,593674.71,590702.237,18327.75,823880.291,868298.234,840274.359,32.558,0.26
POINT (451035.427675 17650.689946),4,3,1,2.79,79.063,33.675,47.543,81.683,811.539,8758.857,9825.649,8967.089,3316.892,25048.39,40159.045,29875.547,6503.071,63467.405,96879.632,72619.801,32.56,0.16
POINT (451088.614953 37541.707252),1,1,0,0.371,20.856,20.633,6.716,23.698,9197.49,628832.334,656483.983,640878.899,17772.809,893360.231,881368.332,892595.535,27573.348,1053845.205,1045993.206,1060205.691,32.56,0.34
POINT (451223.06928 39203.956833),5,0,5,0.629,22.673,17.793,3.685,24.775,10051.473,648891.778,676649.92,661894.315,18902.191,906991.838,892906.364,905760.505,28823.473,1067194.147,1058810.486,1073576.177,32.562,0.355
POINT (451565.753733 38214.667637),13,1,12,0.19,19.492,17.402,3.486,22.333,10413.379,676583.28,700924.846,688316.274,19266.424,920404.334,906441.133,919890.372,29182.822,1074248.658,1068901.693,1082118.019,32.565,0.346
POINT (451592.857409 46079.110897),11,0,11,0.16,55.992,53.583,36.843,57.929,1273.033,33237.11,25120.524,31596.794,4564.234,127301.932,115435.037,123195.13,12133.081,626246.047,653512.238,645226.157,32.565,0.417
POINT (451760.311786 34161.403809),36,23,13,0.796,10.282,29.319,24.033,12.93,8489.194,656222.058,670660.901,660049.283,16806.939,891807.04,891790.818,894054.004,24583.142,1014109.682,1026698.352,1023029.03,32.566,0.309
POINT (451880.852656 42128.635985),73,26,47,0.696,38.348,35.938,19.198,40.284,3596.952,123912.826,121648.722,122352.082,11626.057,672875.141,692463.717,685597.462,20436.845,931949.853,909062.443,928611.765,32.568,0.381
POINT (451882.667507 32948.849108),4,0,4,1.657,13.926,27.812,27.06,16.546,7580.89,610864.775,604003.4,615644.984,15589.746,832421.724,851194.235,840415.4,23571.823,998634.47,1011672.571,1006621.56,32.568,0.298
POINT (451904.818902 35318.83575),1,0,1,0.613,13.167,28.78,14.863,15.815,8611.912,668151.904,683024.854,674113.73,16975.049,907810.865,894782.376,906286.333,25191.797,1030306.112,1032380.396,1037441.326,32.568,0.32
POINT (451929.319528 30728.234542),6,2,4,1.273,17.857,35.725,34.973,20.476,6729.286,518723.027,509704.817,524017.481,14950.92,780721.148,823246.079,796546.168,22495.701,971363.571,993201.641,980882.093,32.568,0.278
POINT (451998.482275 35100.926595),2,0,2,0.076,9.61,29.871,18.321,12.321,9093.527,691753.498,701149.658,693481.895,17510.036,922142.87,910798.354,921391.751,25370.283,1027898.874,1036081.797,1036209.503,32.569,0.318
POINT (452106.414272 34683.637086),1,0,1,0.063,7.529,29.522,19.95,10.176,9426.178,698416.525,708539.288,700926.39,17828.206,929108.264,918555.704,928151.905,25380.591,1025019.329,1036593.091,1034040.023,32.57,0.314
POINT (452125.12364 29521.204757),27,2,25,1.664,24.039,33.179,39.895,26.658,5077.077,341440.356,332237.175,347500.165,12652.94,698760.868,730965.771,712440.576,20578.397,920715.549,948965.882,931612.241,32.57,0.267
POINT (452144.303759 34949.666868),1,1,0,0.235,7.687,32.814,19.148,10.334,8966.902,692483.664,697296.471,693529.304,17277.392,924596.772,912355.911,923163.719,24944.43,1022394.437,1031247.242,1030471.62,32.57,0.316
POINT (452228.093023 34903.980027),79,33,46,0.065,7.176,32.559,19.319,9.824,9129.791,696821.357,702929.246,698418.447,17458.843,928454.575,916534.242,927196.114,25028.277,1022721.416,1032323.69,1031019.231,32.571,0.316
POINT (452434.021063 35171.284976),1,0,1,0.207,6.34,31.935,17.369,9.133,9368.644,706201.539,710088.941,706654.132,17482.278,929685.623,916816.879,928369.94,25165.477,1025018.446,1033913.94,1033335.746,32.573,0.318
POINT (452524.773713 33969.045151),4,0,4,0.596,6.656,33.774,23.137,9.275,9221.84,692429.821,700143.894,695614.233,17226.519,915737.637,911767.64,917078.073,24739.204,1013598.143,1028936.494,1023142.31,32.573,0.307
POINT (452576.4942 12930.165079),6,0,6,3.669,109.964,50.147,79.288,112.584,316.27,4068.048,3829.214,3536.227,675.886,9270.976,8183.248,8447.821,1965.997,20289.451,23802.958,21885.12,32.574,0.117
POINT (452649.530683 37027.492434),2,0,2,0.827,13.403,24.262,9.618,14.283,9913.499,715239.689,717097.16,716557.174,18575.947,940496.999,920435.103,936482.719,27373.999,1055112.24,1058155.75,1063866.509,32.574,0.335
POINT (452992.100833 33099.131065),6,1,5,0.423,7.582,30.901,25.181,10.201,9254.635,681672.44,690250.614,686293.783,17522.671,905998.418,912532.754,910769.582,24866.817,1010199.355,1030488.12,1020570.681,32.578,0.299
POINT (453005.907676 43302.441888),27,5,22,1.228,39.282,36.873,20.133,41.219,2991.777,103637.035,105220.513,104094.432,10979.603,649928.333,672378.914,663672.686,19729.919,914251.284,895261.285,912156.423,32.578,0.392
POINT (453058.305336 43704.216068),1,1,0,1.396,40.768,38.358,21.618,42.704,2619.52,93700.772,92479.544,92308.466,10216.988,604139.962,634543.766,621962.274,18928.003,894356.235,878336.087,892748.08,32.578,0.395
POINT (453080.211387 37992.427767),11,5,6,0.806,18.78,25.827,9.336,19.655,8537.261,640267.333,665231.778,651997.139,17095.108,904951.649,886684.273,901538.563,26346.549,1041528.054,1037096.382,1048052.469,32.578,0.344
POINT (453096.641331 36580.388849),1,1,0,0.159,11.014,26.957,12.305,11.938,9527.035,709063.278,712871.125,710857.194,18049.168,937932.606,919768.951,934199.252,26349.232,1042592.053,1046284.959,1050784.563,32.578,0.331
POINT (453122.382161 35310.893112),46,28,18,0.109,4.589,31.441,16.875,7.431,9292.8,703932.203,706063.026,704579.648,17565.208,931794.628,919351.731,930565.339,25345.305,1026633.337,1036068.383,1035186.522,32.579,0.319
POINT (453129.331245 41428.899582),8,0,8,1.336,30.899,28.489,11.75,32.835,6090.022,346594.18,372709.808,355878.532,15157.19,808843.846,804647.043,809437.203,24567.375,1008633.902,987951.19,1008926.317,32.579,0.375
POINT (453169.830477 23585.54286),35,7,28,0.082,52.902,18.11,31.979,55.522,2800.11,13307.232,34832.743,20544.646,7451.384,102966.783,140742.33,114758.355,17293.965,640996.729,669394.872,654977.35,32.579,0.213
POINT (453249.425328 39648.205841),33,16,17,1.173,27.646,25.237,8.497,29.583,7268.054,497515.43,545822.438,521268.195,15942.402,839344.832,832598.476,838999.827,25777.454,1025322.633,1011230.691,1028339.132,32.58,0.359
POINT (453415.464845 35117.857267),167,107,60,0.26,3.951,33.596,19.03,6.793,9029.838,686564.761,693582.554,688251.893,17155.402,925719.551,914512.281,924501.442,24765.647,1019471.036,1029116.196,1027570.544,32.581,0.318
POINT (453542.980296 34663.152366),88,9,79,0.33,0.66,34.791,20.225,3.502,9839.312,716732.776,722552.778,718125.725,17718.255,931725.135,926065.64,932719.421,25343.315,1021960.244,1036230.728,1031575.227,32.583,0.314
POINT (453590.70565 31412.374213),115,61,54,0.06,17.066,35.024,34.273,19.685,7364.783,587524.825,577181.136,594268.178,14589.232,798321.563,835489.343,811551.383,22311.006,972277.383,992450.443,980857.038,32.583,0.284
POINT (453608.401408 36872.81551),2,0,2,1.628,16.595,29.224,14.524,17.373,8586.93,666554.098,676456.317,670364.235,16797.312,915382.242,894105.374,910121.461,25241.311,1029438.259,1027335.017,1035810.48,32.583,0.334
POINT (453636.070228 49739.85509),36,3,33,2.282,72.463,70.053,52.902,74.399,1489.808,22723.975,18037.751,22341.367,3639.356,73932.184,61957.81,73893.779,7842.833,187259.334,165549.237,184958.746,32.583,0.45
POINT (453680.30925 36638.736689),1,1,0,1.251,12.189,28.392,13.692,11.047,9208.682,691475.935,700819.782,694952.237,17427.242,930928.101,912570.536,926551.273,25799.581,1036123.725,1038901.334,1043675.203,32.584,0.331
POINT (453711.142324 37389.508804),1,0,1,0.37,16.242,28.812,13.068,17.075,9037.669,685308.588,694151.937,688719.835,17229.283,922669.074,902348.424,918072.799,25627.347,1033527.7,1032368.792,1040338.749,32.584,0.338
POINT (453721.51596 36133.455389),1,0,1,0.097,9.406,28.824,14.173,8.263,9545.857,706125.24,712908.462,708259.178,17878.7,936858.311,922347.132,934297.189,25957.261,1036175.027,1042703.483,1044473.831,32.584,0.327
POINT (453948.402632 43153.175312),16,2,14,0.392,44.548,42.865,26.125,45.424,2297.061,89549.659,80588.416,87896.286,8738.923,480682.898,519130.594,501127.233,17987.487,860024.646,851434.185,861373.299,32.586,0.39
POINT (453960.220503 36551.127569),1,1,0,0.496,12.21,33.546,18.846,10.781,8716.796,669835.897,680996.945,673214.432,16836.881,921101.837,908003.134,918612.564,24793.401,1023325.571,1026834.4,1030586.567,32.586,0.331
POINT (454315.676388 95836.116708),3,0,3,104.406,305.478,300.628,286.5,307.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.589,0.867
POINT (454339.662948 33226.19275),17,14,3,0.057,10.839,39.99,28.438,13.459,8376.712,655930.79,662998.118,661103.644,15457.502,871667.237,882082.308,876572.688,23132.369,992498.293,1008950.238,1000939.796,32.59,0.301
POINT (454406.433375 30243.516991),1,1,0,0.824,25.853,43.811,43.059,28.472,4128.214,304329.313,289935.643,306160.711,10712.281,699715.908,717624.025,709646.173,18327.956,884228.622,914448.457,894609.083,32.59,0.274
POINT (454437.776151 37958.103491),7,3,4,0.023,19.042,32.317,11.998,17.6,8504.238,652943.487,665611.867,657957.801,16820.363,909190.552,892755.643,905994.876,24872.99,1024724.209,1020397.615,1030470.217,32.591,0.343
POINT (454652.479119 36538.851889),251,182,69,1.492,14.408,36.025,21.325,12.92,7805.393,616157.222,639857.628,623647.29,15849.893,898398.316,886730.675,896129.989,23851.497,1011867.746,1013352.577,1017834.183,32.592,0.331
POINT (454837.381292 40795.465504),4,1,3,0.444,36.13,34.68,7.912,33.586,5936.643,271521.265,317272.787,290351.588,14785.051,770148.918,779444.679,776943.745,23435.488,986496.036,972284.022,988461.005,32.594,0.369
POINT (455014.032095 34156.854175),10,5,5,0.277,12.676,41.828,29.587,12.299,7924.745,631568.232,646519.389,638633.777,14906.8,865586.735,872148.403,868811.674,22609.911,988447.371,1002582.052,996436.844,32.596,0.309
POINT (455099.641495 38409.314637),4,3,1,0.29,22.983,29.47,8.592,21.54,8578.451,645440.121,655494.638,649041.741,17107.298,897463.386,881660.354,894517.036,25551.679,1027205.64,1022993.924,1033240.47,32.596,0.347
POINT (455267.334588 20780.164336),77,14,63,10.297,72.644,33.611,47.479,75.264,929.065,2858.873,12179.196,5652.834,3688.1,33375.793,60909.548,42919.039,8155.897,121328.001,162810.476,133993.271,32.598,0.188
POINT (455267.997027 40344.471999),254,156,98,0.194,32.359,32.041,8.173,29.815,6843.932,395067.067,443947.22,414257.797,15781.277,813846.502,816562.098,818187.485,24461.75,1008115.857,997273.434,1011495.373,32.598,0.365
POINT (455409.031142 33320.105919),6,5,1,1.437,19.071,48.222,35.982,18.694,6114.97,555504.36,554916.147,562792.099,12530.509,797667.795,810645.34,802476.128,19783.056,948590.419,963143.404,954841.269,32.599,0.301
POINT (455411.150978 29977.848338),1,0,1,0.511,29.685,48.766,47.284,32.304,3574.414,191744.085,174565.417,187082.08,9724.674,668752.748,672885.745,677567.496,16798.237,848993.571,884318.934,860444.203,32.599,0.271
POINT (455489.947775 23211.880191),35,4,31,0.464,60.804,26.581,40.449,63.424,2246.825,21325.485,40073.195,27704.164,6020.052,77934.718,114431.843,90434.166,12474.486,315107.085,337460.22,319834.398,32.6,0.21
POINT (455490.954525 48634.423016),123,29,94,0.31,62.13,59.721,39.805,64.067,2163.061,38588.545,34984.352,40198.996,5430.974,137267.545,114786.385,136695.877,12281.681,425135.002,440310.11,435535.327,32.6,0.44
POINT (455558.412374 33733.01774),1,0,1,0.443,16.491,45.642,33.401,16.113,6864.166,591726.706,598626.477,599725.421,13491.193,828139.857,839484.676,832741.99,21105.769,967267.821,981889.556,974217.638,32.601,0.305
POINT (455569.31052 34438.691765),4,3,1,0.416,18.444,47.563,32.862,15.628,6629.438,587326.759,592770.581,593510.557,13327.66,825894.183,835094.908,829882.824,20570.834,965315.711,976051.859,971079.166,32.601,0.312
POINT (455607.494442 42694.384026),407,132,275,3.579,42.373,39.589,12.821,43.801,3421.944,112088.363,126680.881,114189.622,11732.019,620959.98,662779.583,645234.405,20680.416,922155.38,909474.618,923216.589,32.601,0.386
POINT (455890.964829 36165.201077),3,2,1,0.332,13.766,38.996,18.119,11.045,8905.416,653750.546,669124.207,659253.468,16670.331,908268.177,902388.619,908937.029,24419.997,1015175.955,1022339.517,1024083.478,32.604,0.327
POINT (455947.50769 30446.235228),9,5,4,0.181,28.522,47.603,46.121,31.142,4085.847,239684.681,223245.016,237102.357,10046.023,678934.332,689620.039,687676.772,17331.753,862478.441,896595.453,873747.196,32.604,0.275
POINT (456016.851343 39671.294431),103,53,50,1.662,29.902,27.193,2.408,31.83,8415.662,479953.316,527113.427,501707.386,17520.041,857311.884,854202.35,860134.142,26508.364,1030162.71,1021792.448,1036077.09,32.605,0.359
POINT (456046.523877 29843.828642),6,1,5,2.32,32.818,51.899,50.417,35.437,2804.018,122866.489,110605.127,119490.83,8414.461,621244.121,612655.006,623208.592,15405.335,810912.113,853146.658,824514.258,32.605,0.27
POINT (456198.124642 37134.560846),276,220,56,1.378,22.575,41.067,20.189,19.814,6816.923,525769.345,558699.743,537542.876,14544.361,842032.6,835732.852,841891.869,22523.015,992189.392,987780.887,996497.949,32.606,0.336
POINT (456240.282804 33842.895279),10,9,1,2.069,20.048,49.166,34.466,17.231,5811.185,524437.626,532711.866,534094.45,12185.3,783842.869,794731.212,787255.993,19323.533,949928.015,959074.849,954465.813,32.607,0.306
POINT (456248.132463 57536.690016),49,0,49,5.187,113.271,110.861,90.945,115.207,354.777,3351.65,4295.437,3808.562,677.479,8782.298,10807.964,10445.943,1304.506,21547.081,22629.683,23901.152,32.607,0.521
POINT (456362.39112 24471.930505),15,3,12,0.851,58.021,32.884,46.753,60.641,2060.069,26441.693,42154.372,31764.349,5073.557,78294.242,104746.018,86968.134,10765.596,312233.126,337817.406,320957.741,32.608,0.221
POINT (456380.419294 31833.406019),53,34,19,0.136,23.235,51.899,40.835,25.855,5155.553,437487.289,413925.868,429726.043,10902.124,728917.778,749774.541,736307.13,17948.707,903844.072,927556.186,911785.893,32.608,0.288
