pt,n_listings,n_rent,n_sale,access_min,tt_cbd_min,tt_expressway_min,tt_bypass_min,tt_rail_min,acc_ntl_30,acc_jobs_30_bld,acc_jobs_30_ntl,acc_jobs_30_mix,acc_ntl_45,acc_jobs_45_bld,acc_jobs_45_ntl,acc_jobs_45_mix,acc_ntl_60,acc_jobs_60_bld,acc_jobs_60_ntl,acc_jobs_60_mix,lon,lat
POINT (418366.493825 57629.290614),1,0,1,0.426,177.641,161.823,152.245,179.743,46.356,1737.821,561.249,760.707,78.168,3609.189,946.419,1431.351,140.237,5615.817,1652.452,2426.965,32.266,0.521
POINT (418718.815729 58389.759232),1,0,1,3.648,180.573,164.756,155.177,182.675,43.692,1526.308,528.998,714.367,71.012,3135.774,859.767,1279.993,126.908,5125.139,1491.077,2184.246,32.27,0.528
POINT (423775.406089 24871.051059),83,0,83,4.012,147.284,115.142,114.6,149.932,178.145,5640.707,4158.6,5477.537,353.461,10232.001,8159.738,9902.395,690.158,16090.416,15874.801,16691.376,32.315,0.225
POINT (426137.226227 57432.33803),1,0,1,12.137,177.457,161.639,152.06,179.558,8.779,733.065,106.293,164.129,67.101,3185.848,812.415,1274.699,176.904,6426.328,2141.85,3080.302,32.336,0.52
POINT (427051.763016 48629.63533),3,0,3,4.168,131.26,115.442,105.864,133.362,174.28,4553.814,2110.087,3035.98,390.296,8274.657,4725.488,5864.81,769.73,16634.223,9319.447,12090.165,32.344,0.44
POINT (430964.130319 26691.377599),1,0,1,1.434,109.663,77.521,76.979,112.31,609.902,9681.217,13484.6,12569.376,986.685,17680.632,19780.275,20273.402,1720.169,32074.103,30390.502,33277.394,32.38,0.241
POINT (431438.252262 66132.668258),2,0,2,2.467,174.748,169.898,155.77,176.85,50.565,3051.242,2105.898,2070.504,183.416,4314.2,4932.002,3101.369,295.332,6026.287,6397.347,4308.173,32.384,0.598
POINT (431652.022546 45615.080768),83,0,83,0.904,111.382,95.564,85.985,113.483,438.265,7441.287,5306.268,6442.946,853.774,15638.099,10589.988,13197.547,1387.093,26551.627,17732.033,22442.781,32.386,0.413
POINT (432601.90834 15154.522054),39,3,36,3.436,143.434,108.515,122.543,146.082,75.45,2538.951,913.511,1407.486,176.909,4944.199,2173.074,2779.928,309.023,7962.482,4316.523,5308.55,32.394,0.137
POINT (438814.412468 36495.401268),26,1,25,4.105,74.415,39.302,39.182,76.863,1051.491,14975.248,13516.159,15551.352,2760.779,42109.294,40187.102,42899.875,6751.209,136681.983,146330.108,138878.266,32.45,0.33
POINT (439339.321043 29993.69698),31,5,26,1.01,68.736,36.594,36.052,71.383,1192.97,18495.711,14443.801,17937.251,3008.564,45831.592,50525.087,47706.723,8082.922,176530.55,196823.58,183751.384,32.455,0.271
POINT (440163.075142 5617.761837),3,1,2,1.93,96.185,31.217,61.259,98.287,1196.211,10662.863,14483.04,11414.662,2225.165,20131.58,26941.027,21304.809,4163.943,34117.508,50414.649,37700.089,32.462,0.051
POINT (440335.995092 5877.70537),1,0,1,1.128,94.733,29.765,59.807,96.835,1288.154,11869.996,15596.24,12602.62,2398.644,21107.619,29041.421,22619.262,4387.203,35720.155,53802.056,39864.302,32.464,0.053
POINT (441023.454985 6632.088445),210,20,190,0.998,90.059,25.062,55.1,92.161,1571.853,14997.994,19031.105,15924.619,2888.781,24103.983,34975.712,26576.4,5181.329,44228.917,66495.718,50022.211,32.47,0.06
POINT (441024.996878 46424.627225),9,0,9,3.091,78.82,63.002,53.424,80.922,770.216,13082.973,9325.336,12144.709,1862.369,31120.495,22548.502,29097.414,3630.852,59787.788,50343.177,55891.841,32.47,0.42
POINT (441534.161907 3982.802166),1,1,0,6.843,104.925,39.957,70.026,107.027,906.128,6646.189,10970.882,7770.868,1689.095,15619.649,20450.604,16413.781,3021.54,24565.935,36583.089,26831.782,32.475,0.036
POINT (442351.683585 32227.959293),2,0,2,4.922,54.508,22.365,21.823,57.155,1775.138,28895.828,30962.157,29217.104,6501.665,151391.264,167582.715,154947.665,17121.609,703945.938,742708.639,723884.441,32.482,0.292
POINT (442850.985409 45484.961434),851,57,794,0.653,72.798,56.98,47.401,74.899,1015.961,17196.222,12300.679,16041.535,2242.301,38775.654,27148.51,35666.333,5274.561,109065.766,103334.647,105076.975,32.486,0.412
POINT (443448.243544 35341.474397),1,0,1,5.216,52.006,16.893,16.773,54.454,1923.239,33211.403,41812.549,33550.074,8302.978,264472.808,262091.255,259503.892,19644.036,829673.42,854114.76,845388.03,32.492,0.32
POINT (443484.867568 55637.513681),59,0,59,8.803,109.558,104.708,90.58,111.66,252.385,3643.149,3055.739,3567.851,629.758,9385.344,7624.756,9072.866,1425.727,20690.613,17399.775,20286.978,32.492,0.503
POINT (444816.565571 32882.826391),11,1,10,0.739,40.725,8.583,8.041,43.372,4910.248,117458.427,132858.234,120328.393,15463.178,664567.072,696299.341,680022.997,24393.43,962730.584,965024.646,969055.896,32.504,0.297
POINT (445060.082982 35615.4898),11,1,10,0.899,43.237,8.125,8.004,45.685,4551.231,108225.95,121377.546,109378.959,14800.114,640575.257,665870.836,651668.342,24371.422,962625.468,961180.089,967615.902,32.506,0.322
POINT (445252.239846 17132.793477),4,0,4,1.856,60.356,7.62,24.897,62.458,2873.413,21413.715,37770.42,27190.452,8786.152,122722.071,158959.739,132376.66,18755.139,633355.193,671340.072,646245.964,32.508,0.155
POINT (445581.471328 8120.940339),35,0,35,0.174,85.267,20.299,50.476,87.369,1289.929,10785.912,15617.729,12631.011,2895.874,25963.687,35061.599,28626.232,6080.996,53152.907,83438.686,60852.08,32.511,0.073
POINT (445956.984863 36521.767507),1,0,1,0.952,40.422,12.491,10.842,42.523,4738.82,131035.705,139488.238,130337.467,14589.556,710345.764,735538.378,723938.09,24091.932,959052.721,956199.111,963797.504,32.514,0.33
POINT (446649.154217 50349.326633),143,1,142,2.479,80.122,75.272,61.144,82.224,945.781,15255.572,11450.974,14447.889,2116.348,33368.8,25623.534,31906.311,4526.711,93817.786,68646.523,87808.283,32.521,0.456
POINT (446824.732749 22043.779855),212,5,207,0.835,66.282,22.009,36.036,68.901,1593.925,8580.573,19298.331,12015.628,4944.365,39488.514,68920.581,48616.114,11745.255,227040.896,255919.283,235445.106,32.522,0.199
POINT (447095.580914 19042.058459),1,1,0,1.639,74.127,29.855,43.882,76.747,995.414,8767.045,12051.908,10284.306,3472.298,26115.432,42724.91,31624.006,7739.901,97468.75,129488.134,105416.678,32.525,0.172
POINT (447478.678056 40344.850471),49,2,47,0.27,36.474,20.657,11.078,38.576,4660.75,183094.133,177426.826,176355.355,13875.088,740468.94,757648.028,751211.353,23868.772,969770.399,959794.712,972301.977,32.528,0.365
POINT (447700.462543 21001.42088),165,2,163,2.562,55.263,5.42,20.472,57.365,3679.76,28177.166,54365.891,35737.086,11084.367,205046.972,240138.435,216544.523,21937.87,821022.913,858228.462,837215.81,32.53,0.19
POINT (447801.676514 98308.609224),1,0,1,117.767,289.2,284.35,270.223,291.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.531,0.889
POINT (448004.335909 25989.215489),1,0,1,1.362,50.716,20.239,34.107,53.336,2558.921,16529.531,31525.471,22303.274,6791.05,111053.116,132543.027,117840.733,15604.64,612257.643,628166.08,618782.745,32.533,0.235
